cosmo_name,smiles,inchi,cosmo_conf,source,exp_dielectric,T,source.1,polar,protic
"(1,1-dimethylethyl)benzene",CC(C)(C)c1ccccc1,"InChI=1/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",1,COSMObase,2.359,20.0,,0.0,0
"1-(1,1-dimethylethoxy)-2-propanol",CC(O)COC(C)(C)C,"InChI=1/C7H16O2/c1-6(8)5-9-7(2,3)4/h6,8H,5H2,1-4H3",5,COSMObase,,,,,1
1-bromonaphthalene,Brc1cccc2ccccc12,InChI=1/C10H7Br/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,1,COSMObase,4.768,25.0,,0.0,0
1-bromooctane,CCCCCCCCBr,"InChI=1/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",4,COSMObase,5.0957,20.0,,0.0,0
1-bromopropane,CCCBr,"InChI=1/C3H7Br/c1-2-3-4/h2-3H2,1H3",2,COSMObase,8.09,20.0,,0.0,0
1-butanol,CCCCO,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",7,COSMOtherm,17.84,20.0,,0.0,1
1-butylamine,CCCCN,"InChI=1/C4H11N/c1-2-3-4-5/h2-5H2,1H3",3,COSMOtherm,4.71,20.0,,0.0,1
1-chloro-2-methyl-propane,CC(C)CCl,"InChI=1/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",1,COSMObase,7.027,20.0,,0.0,0
1-chlorobutane,CCCCCl,"InChI=1/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",1,COSMOtherm,7.276,20.0,,0.0,0
1-chlorohexane,CCCCCCCl,"InChI=1/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",2,COSMOtherm,6.104,20.0,,0.0,0
1-chloronaphthalene,Clc1cccc2ccccc12,InChI=1/C10H7Cl/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,1,COSMObase,5.04,25.0,,0.0,0
1-chloropropane,CCCCl,"InChI=1/C3H7Cl/c1-2-3-4/h2-3H2,1H3",1,COSMOtherm,8.588,20.0,,0.0,0
1-decanol,CCCCCCCCCCO,"InChI=1/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",3,COSMObase,7.93,20.0,,0.0,1
1-decene,C=CCCCCCCCC,"InChI=1/C10H20/c1-3-5-7-9-10-8-6-4-2/h3H,1,4-10H2,2H3",4,COSMObase,2.136,20.0,,0.0,0
1-ethoxybutane,CCCCOCC,"InChI=1/C6H14O/c1-3-5-6-7-4-2/h3-6H2,1-2H3",2,COSMObase,,,,,0
1-fluorooctane,CCCCCCCCF,"InChI=1/C8H17F/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",4,COSMObase,3.89,20.0,,0.0,0
1-heptanol,CCCCCCCO,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",8,COSMOtherm,11.75,20.0,,0.0,1
1-hexadecene,C=CCCCCCCCCCCCCCC,"InChI=1/C16H32/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3H,1,4-16H2,2H3",3,COSMObase,,,,,0
1-hexanol,CCCCCCO,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",10,COSMOtherm,13.03,20.0,,0.0,1
1-hexene,C=CCCCC,"InChI=1/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",1,COSMOtherm,2.077,21.0,,0.0,0
1-methyl-4-isopropylbenzene,Cc1ccc(C(C)C)cc1,"InChI=1/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",1,COSMObase,,,,,0
1-methyl-pyrrolidine,CN1CCCC1,"InChI=1/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3",1,COSMObase,32.2,25.0,,1.0,0
1-methylnaphthalene,Cc1cccc2ccccc12,"InChI=1/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",1,COSMObase,2.915,20.0,,0.0,0
1-methylpiperidin-2-one,CN1CCCCC1=O,"InChI=1/C6H11NO/c1-7-5-3-2-4-6(7)8/h2-5H2,1H3",1,COSMObase,,,,,0
1-nitropropane,CCC[N+](=O)[O-],"InChI=1/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",3,COSMObase,24.7,15.0,,1.0,0
1-nonanol,CCCCCCCCCO,"InChI=1/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",7,COSMObase,8.83,20.0,,0.0,1
1-nonene,C=CCCCCCCC,"InChI=1/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3",3,COSMObase,2.18,20.0,,0.0,0
1-octanol,CCCCCCCCO,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",7,COSMOtherm,10.3,20.0,,0.0,1
1-pentanol,CCCCCO,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",8,COSMOtherm,15.13,25.0,,0.0,1
1-propoxy-2-propanol,CCCOCC(C)O,"InChI=1/C6H14O2/c1-3-4-8-5-6(2)7/h6-7H,3-5H2,1-2H3",14,COSMObase,,,,,1
1-undecanol,CCCCCCCCCCCO,"InChI=1/C11H24O/c1-2-3-4-5-6-7-8-9-10-11-12/h12H,2-11H2,1H3",4,COSMObase,5.98,40.0,,0.0,1
"1,1-dibromoethane",CC(Br)Br,"InChI=1/C2H4Br2/c1-2(3)4/h2H,1H3",1,COSMObase,4.9612,20.0,,0.0,0
"1,1-dichloroethane",CC(Cl)Cl,"InChI=1/C2H4Cl2/c1-2(3)4/h2H,1H3",1,COSMOtherm,10.1,25.0,,0.0,0
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,"InChI=1/C2H3Cl3/c1-2(3,4)5/h1H3",1,COSMOtherm,7.243,20.0,,0.0,0
"1,1,2,2-tetrabromoethane",BrC(Br)C(Br)Br,InChI=1/C2H2Br4/c3-1(4)2(5)6/h1-2H,2,COSMObase,6.72,30.0,,0.0,0
"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl,InChI=1/C2H2Cl4/c3-1(4)2(5)6/h1-2H,3,COSMObase,8.5,20.0,,0.0,0
"1,1'-oxybis-2-ethoxy-ethane",CCOCCOCCOCC,"InChI=1/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3",16,COSMObase,,,,,0
"1,2-benzenedicarboxylicaciddinonylester",CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,"InChI=1/C26H42O4/c1-3-5-7-9-11-13-17-21-29-25(27)23-19-15-16-20-24(23)26(28)30-22-18-14-12-10-8-6-4-2/h15-16,19-20H,3-14,17-18,21-22H2,1-2H3",10,COSMObase,,,,,0
"1,2-butanediol",CCC(O)CO,"InChI=1/C4H10O2/c1-2-4(6)3-5/h4-6H,2-3H2,1H3",13,COSMObase,22.4,25.0,,1.0,1
